kepid,kepid_count,koi_disposition
11904151,2,CONFIRMED
11904151,2,CONFIRMED
6521045,3,CONFIRMED
6521045,3,CONFIRMED
6521045,3,CONFIRMED
10063802,1,CONFIRMED
11074178,2,CONFIRMED
11074178,2,CONFIRMED
7449136,1,CONFIRMED
8689793,1,CONFIRMED
11673802,1,CONFIRMED
7668663,1,CONFIRMED
7047922,1,CONFIRMED
9353314,1,CONFIRMED
8766650,1,CONFIRMED
7094486,1,CONFIRMED
10905239,2,CONFIRMED
10905239,2,CONFIRMED
8226050,1,CONFIRMED
9965957,1,CONFIRMED
9704384,1,CONFIRMED
8426567,1,CONFIRMED
8218379,1,CONFIRMED
7755636,1,CONFIRMED
9411166,2,CONFIRMED
9411166,2,CONFIRMED
4989057,1,CONFIRMED
9072190,1,CONFIRMED
10190777,1,CONFIRMED
10187017,5,CONFIRMED
10187017,5,CONFIRMED
10187017,5,CONFIRMED
10187017,5,CONFIRMED
10187017,5,CONFIRMED
9651234,1,CONFIRMED
7045496,1,CONFIRMED
10005788,1,CONFIRMED
11656918,1,CONFIRMED
3118797,1,CONFIRMED
8081187,1,CONFIRMED
4813563,1,CONFIRMED
7269493,1,CONFIRMED
11657891,1,CONFIRMED
6205897,1,CONFIRMED
4914423,2,CONFIRMED
4914423,2,CONFIRMED
9347009,1,CONFIRMED
11253711,1,CONFIRMED
4917596,1,CONFIRMED
8543100,1,CONFIRMED
2693736,1,CONFIRMED
7273277,1,CONFIRMED
11769890,1,CONFIRMED
10153855,1,CONFIRMED
8257205,2,CONFIRMED
8257205,2,CONFIRMED
9044228,1,CONFIRMED
6678383,3,CONFIRMED
6678383,3,CONFIRMED
6678383,3,CONFIRMED
10779233,1,CONFIRMED
11614617,1,CONFIRMED
4736569,1,CONFIRMED
10384798,1,CONFIRMED
9834040,1,CONFIRMED
8802693,1,CONFIRMED
10024701,1,CONFIRMED
12154526,2,CONFIRMED
12154526,2,CONFIRMED
6665512,1,CONFIRMED
10525027,1,CONFIRMED
9579641,2,CONFIRMED
9579641,2,CONFIRMED
11069176,2,CONFIRMED
11069176,2,CONFIRMED
5631630,1,CONFIRMED
9839821,2,CONFIRMED
9839821,2,CONFIRMED
4056616,1,CONFIRMED
8492026,1,CONFIRMED
8750043,1,CONFIRMED
9973109,1,CONFIRMED
6226290,1,CONFIRMED
9349482,1,CONFIRMED
6356207,1,CONFIRMED
8395660,4,CONFIRMED
8395660,4,CONFIRMED
8395660,4,CONFIRMED
8395660,4,CONFIRMED
4544907,1,CONFIRMED
11923284,1,CONFIRMED
5940165,1,CONFIRMED
2985767,1,CONFIRMED
2304320,1,CONFIRMED
3657758,2,CONFIRMED
3657758,2,CONFIRMED
9790806,1,CONFIRMED
8804845,2,CONFIRMED
8804845,2,CONFIRMED
