kepid,kepler_name,pl_name
11446443,Kepler-1 b,TrES-2 b
11904151,Kepler-10 b,Kepler-10 b
11904151,Kepler-10 c,Kepler-10 c
11904151,Kepler-10 d,Kepler-10 d
6521045,Kepler-100 b,Kepler-100 b
6521045,Kepler-100 c,Kepler-100 c
6521045,Kepler-100 d,Kepler-100 d
6521045,Kepler-100 e,Kepler-100 e
10063802,Kepler-1000 b,Kepler-1000 b
11074178,Kepler-1001 b,Kepler-1001 b
11074178,Kepler-1001 c,Kepler-1001 c
7449136,Kepler-1002 b,Kepler-1002 b
8689793,Kepler-1003 b,Kepler-1003 b
11673802,Kepler-1004 b,Kepler-1004 b
7668663,Kepler-1005 b,Kepler-1005 b
7047922,Kepler-1006 b,Kepler-1006 b
9353314,Kepler-1007 b,Kepler-1007 b
8766650,Kepler-1008 b,Kepler-1008 b
7094486,Kepler-1009 b,Kepler-1009 b
10905239,Kepler-101 b,Kepler-101 b
10905239,Kepler-101 c,Kepler-101 c
8226050,Kepler-1010 b,Kepler-1010 b
9965957,Kepler-1011 b,Kepler-1011 b
9704384,Kepler-1012 b,Kepler-1012 b
8426567,Kepler-1013 b,Kepler-1013 b
8218379,Kepler-1014 b,Kepler-1014 b
7755636,Kepler-1015 b,Kepler-1015 b
9411166,Kepler-1016 b,Kepler-1016 b
9411166,Kepler-1016 c,Kepler-1016 c
4989057,Kepler-1017 b,Kepler-1017 b
9072190,Kepler-1018 b,Kepler-1018 b
10190777,Kepler-1019 b,Kepler-1019 b
10187017,Kepler-102 b,Kepler-102 b
10187017,Kepler-102 c,Kepler-102 c
10187017,Kepler-102 d,Kepler-102 d
10187017,Kepler-102 e,Kepler-102 e
10187017,Kepler-102 f,Kepler-102 f
9651234,Kepler-1020 b,Kepler-1020 b
7045496,Kepler-1021 b,Kepler-1021 b
10005788,Kepler-1022 b,Kepler-1022 b
11656918,Kepler-1023 b,Kepler-1023 b
3118797,Kepler-1024 b,Kepler-1024 b
8081187,Kepler-1025 b,Kepler-1025 b
4813563,Kepler-1026 b,Kepler-1026 b
7269493,Kepler-1027 b,Kepler-1027 b
11657891,Kepler-1028 b,Kepler-1028 b
6205897,Kepler-1029 b,Kepler-1029 b
4914423,Kepler-103 b,Kepler-103 b
4914423,Kepler-103 c,Kepler-103 c
9347009,Kepler-1030 b,Kepler-1030 b
11253711,Kepler-1031 b,Kepler-1031 b
4917596,Kepler-1032 b,Kepler-1032 b
8543100,Kepler-1033 b,Kepler-1033 b
2693736,Kepler-1034 b,Kepler-1034 b
7273277,Kepler-1035 b,Kepler-1035 b
11769890,Kepler-1036 b,Kepler-1036 b
10153855,Kepler-1037 b,Kepler-1037 b
8257205,Kepler-1038 b,Kepler-1038 b
8257205,Kepler-1038 c,Kepler-1038 c
9044228,Kepler-1039 b,Kepler-1039 b
6678383,Kepler-104 b,Kepler-104 b
6678383,Kepler-104 c,Kepler-104 c
6678383,Kepler-104 d,Kepler-104 d
10779233,Kepler-1040 b,Kepler-1040 b
11614617,Kepler-1041 b,Kepler-1041 b
4736569,Kepler-1042 b,Kepler-1042 b
10384798,Kepler-1043 b,Kepler-1043 b
9834040,Kepler-1044 b,Kepler-1044 b
8802693,Kepler-1045 b,Kepler-1045 b
10024701,Kepler-1046 b,Kepler-1046 b
12154526,Kepler-1047 b,Kepler-1047 b
12154526,Kepler-1047 c,Kepler-1047 c
6665512,Kepler-1048 b,Kepler-1048 b
10525027,Kepler-1049 b,Kepler-1049 b
9579641,Kepler-105 b,Kepler-105 b
9579641,Kepler-105 c,Kepler-105 c
11069176,Kepler-1050 b,Kepler-1050 b
11069176,Kepler-1050 c,Kepler-1050 c
5631630,Kepler-1051 b,Kepler-1051 b
9839821,Kepler-1052 b,Kepler-1052 b
9839821,Kepler-1052 c,Kepler-1052 c
4056616,Kepler-1053 b,Kepler-1053 b
8492026,Kepler-1054 b,Kepler-1054 b
8750043,Kepler-1055 b,Kepler-1055 b
9973109,Kepler-1056 b,Kepler-1056 b
6226290,Kepler-1057 b,Kepler-1057 b
9349482,Kepler-1058 b,Kepler-1058 b
6356207,Kepler-1059 b,Kepler-1059 b
8395660,Kepler-106 b,Kepler-106 b
8395660,Kepler-106 c,Kepler-106 c
8395660,Kepler-106 d,Kepler-106 d
8395660,Kepler-106 e,Kepler-106 e
4544907,Kepler-1060 b,Kepler-1060 b
11923284,Kepler-1061 b,Kepler-1061 b
5940165,Kepler-1062 b,Kepler-1062 b
2985767,Kepler-1063 b,Kepler-1063 b
2304320,Kepler-1064 b,Kepler-1064 b
3657758,Kepler-1065 b,Kepler-1065 b
3657758,Kepler-1065 c,Kepler-1065 c
9790806,Kepler-1066 b,Kepler-1066 b
8804845,Kepler-1067 b,Kepler-1067 b
8804845,Kepler-1067 c,Kepler-1067 c
9656252,Kepler-1068 b,Kepler-1068 b
10663396,Kepler-1069 b,Kepler-1069 b
10875245,Kepler-107 b,Kepler-107 b
10875245,Kepler-107 c,Kepler-107 c
10875245,Kepler-107 d,Kepler-107 d
10875245,Kepler-107 e,Kepler-107 e
11457726,Kepler-1070 b,Kepler-1070 b
8956206,Kepler-1071 b,Kepler-1071 b
9649706,Kepler-1072 b,Kepler-1072 b
3128552,Kepler-1073 b,Kepler-1073 b
3128552,Kepler-1073 c,Kepler-1073 c
3128552,Kepler-1073 d,Kepler-1073 d
9573685,Kepler-1074 b,Kepler-1074 b
10329835,Kepler-1075 b,Kepler-1075 b
12301181,Kepler-1076 b,Kepler-1076 b
6774880,Kepler-1077 b,Kepler-1077 b
7449541,Kepler-1078 b,Kepler-1078 b
9304101,Kepler-1079 b,Kepler-1079 b
9471974,Kepler-108 b,Kepler-108 b
9471974,Kepler-108 c,Kepler-108 c
11360571,Kepler-1080 b,Kepler-1080 b
6035124,Kepler-1081 b,Kepler-1081 b
12058147,Kepler-1082 b,Kepler-1082 b
8866137,Kepler-1083 b,Kepler-1083 b
10857519,Kepler-1084 b,Kepler-1084 b
9517393,Kepler-1085 b,Kepler-1085 b
9517393,Kepler-1085 c,Kepler-1085 c
9351316,Kepler-1086 b,Kepler-1086 b
9351316,Kepler-1086 c,Kepler-1086 c
9473078,Kepler-1087 b,Kepler-1087 b
6922710,Kepler-1088 b,Kepler-1088 b
11348997,Kepler-1089 b,Kepler-1089 b
5094751,Kepler-109 b,Kepler-109 b
5094751,Kepler-109 c,Kepler-109 c
8505920,Kepler-1090 b,Kepler-1090 b
8505920,Kepler-1090 c,Kepler-1090 c
7918992,Kepler-1091 b,Kepler-1091 b
10158729,Kepler-1092 b,Kepler-1092 b
6105462,Kepler-1093 b,Kepler-1093 b
6105462,Kepler-1093 c,Kepler-1093 c
3120355,Kepler-1094 b,Kepler-1094 b
6047072,Kepler-1095 b,Kepler-1095 b
9411412,Kepler-1096 b,Kepler-1096 b
7008211,Kepler-1097 b,Kepler-1097 b
7620413,Kepler-1098 b,Kepler-1098 b
10854546,Kepler-1099 b,Kepler-1099 b
6541920,Kepler-11 b,Kepler-11 b
6541920,Kepler-11 c,Kepler-11 c
6541920,Kepler-11 d,Kepler-11 d
6541920,Kepler-11 e,Kepler-11 e
6541920,Kepler-11 f,Kepler-11 f
6541920,Kepler-11 g,Kepler-11 g
11086270,Kepler-110 b,Kepler-110 b
11086270,Kepler-110 c,Kepler-110 c
8165946,Kepler-1100 b,Kepler-1100 b
9225395,Kepler-1101 b,Kepler-1101 b
10709622,Kepler-1102 b,Kepler-1102 b
11499228,Kepler-1103 b,Kepler-1103 b
11460462,Kepler-1104 b,Kepler-1104 b
6921944,Kepler-1105 b,Kepler-1105 b
8164012,Kepler-1106 b,Kepler-1106 b
4055304,Kepler-1107 b,Kepler-1107 b
9415108,Kepler-1108 b,Kepler-1108 b
4262581,Kepler-1109 b,Kepler-1109 b
8559644,Kepler-111 b,Kepler-111 b
8559644,Kepler-111 c,Kepler-111 c
3546060,Kepler-1110 b,Kepler-1110 b
9351920,Kepler-1111 b,Kepler-1111 b
10549023,Kepler-1112 b,Kepler-1112 b
4254466,Kepler-1113 b,Kepler-1113 b
9364609,Kepler-1114 b,Kepler-1114 b
5022828,Kepler-1115 b,Kepler-1115 b
8233702,Kepler-1116 b,Kepler-1116 b
11403339,Kepler-1117 b,Kepler-1117 b
8260902,Kepler-1118 b,Kepler-1118 b
8381204,Kepler-1119 b,Kepler-1119 b
7626506,Kepler-112 b,Kepler-112 b
7626506,Kepler-112 c,Kepler-112 c
6774537,Kepler-1120 b,Kepler-1120 b
10617017,Kepler-1121 b,Kepler-1121 b
9641481,Kepler-1122 b,Kepler-1122 b
12116380,Kepler-1123 b,Kepler-1123 b
2556650,Kepler-1124 b,Kepler-1124 b
5546761,Kepler-1125 b,Kepler-1125 b
9205938,Kepler-1126 b,Kepler-1126 b
9205938,Kepler-1126 c,Kepler-1126 c
7204981,Kepler-1127 b,Kepler-1127 b
4370527,Kepler-1128 b,Kepler-1128 b
6041734,Kepler-1129 b,Kepler-1129 b
6041734,Kepler-1129 c,Kepler-1129 c
12252424,Kepler-113 b,Kepler-113 b
12252424,Kepler-113 c,Kepler-113 c
9006186,Kepler-1130 b,Kepler-1130 b
9006186,Kepler-1130 c,Kepler-1130 c
9006186,Kepler-1130 d,Kepler-1130 d
11410904,Kepler-1131 b,Kepler-1131 b
10965588,Kepler-1132 b,Kepler-1132 b
7286911,Kepler-1133 b,Kepler-1133 b
6962109,Kepler-1134 b,Kepler-1134 b
8611781,Kepler-1135 b,Kepler-1135 b
8282651,Kepler-1136 b,Kepler-1136 b
11075429,Kepler-1137 b,Kepler-1137 b
10909127,Kepler-1138 b,Kepler-1138 b
4144576,Kepler-1139 b,Kepler-1139 b
