kepid,kepoi_name,kepler_name,ra,dec,koi_kepmag,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_duration,koi_depth,koi_model_snr,koi_impact,koi_prad,koi_teq,koi_insol,koi_ror,koi_steff,koi_slogg,koi_srad,koi_smass,sky_coord.ra,sky_coord.dec
11446443,K00001.01,Kepler-1 b,286.80847,49.316399,11.338,CONFIRMED,0.811,0,0,0,0,2.470613377,122.763305,1.74319,14230.9,4304.3,0.818,13.04,1339.0,761.46,0.123871,5820.0,4.457,0.964,0.971,286.80847,49.316399
11904151,K00072.01,Kepler-10 b,285.67938,50.241299,10.961,CONFIRMED,0.0,1,0,0,0,0.837491225,131.574858,1.796,190.4,189.5,0.022,1.43,1980.0,3630.32,0.012545,5676.0,4.347,1.044,0.884,285.67938,50.241299
11904151,K00072.02,Kepler-10 c,285.67938,50.241299,10.961,CONFIRMED,0.982,0,0,0,0,45.29422297,138.678725,6.83,477.1,134.8,0.025,2.26,524.0,17.75,0.019806,5676.0,4.347,1.044,0.884,285.67938,50.241299
6521045,K00041.02,Kepler-100 b,291.38599,41.990269,11.197,CONFIRMED,1.0,0,0,0,0,6.88707073,133.17797,4.4679,68.7,38.2,0.696,1.3,1155.0,420.97,0.008082,5788.0,4.122,1.474,1.05,291.38599,41.990269
6521045,K00041.01,Kepler-100 c,291.38599,41.990269,11.197,CONFIRMED,1.0,0,0,0,0,12.81590421,122.94682,6.3856,220.5,106.7,0.58,2.26,939.0,183.68,0.014067,5788.0,4.122,1.474,1.05,291.38599,41.990269
6521045,K00041.03,Kepler-100 d,291.38599,41.990269,11.197,CONFIRMED,1.0,0,0,0,0,35.3331932,153.98249,5.966,99.7,28.8,0.656,1.55,670.0,47.52,0.009621,5788.0,4.122,1.474,1.05,291.38599,41.990269
10063802,K01888.01,Kepler-1000 b,286.68552,47.098221,13.256,CONFIRMED,0.978,0,0,0,0,120.0183551,134.18742,11.637,886.0,46.1,0.58,4.54,473.0,11.84,0.028322,6469.0,4.253,1.467,1.406,286.68552,47.098221
11074178,K01889.01,Kepler-1001 b,286.27386,48.61871,15.338,CONFIRMED,1.0,0,0,0,0,14.30517579,135.06301,4.535,863.4,37.5,0.924,3.05,693.0,54.59,0.033025,5741.0,4.555,0.846,0.938,286.27386,48.61871
11074178,K01889.02,Kepler-1001 c,286.27386,48.61871,15.338,CONFIRMED,0.976,0,0,0,0,9.18189122,132.40505,4.343,363.6,18.2,0.971,2.17,804.0,98.61,0.023538,5741.0,4.555,0.846,0.938,286.27386,48.61871
7449136,K01890.01,Kepler-1002 b,293.0795,43.073711,11.704,CONFIRMED,1.0,0,0,0,0,4.33643506,133.85442,4.1445,108.5,48.0,0.641,1.75,1453.0,1054.56,0.010024,6180.0,4.133,1.603,1.275,293.0795,43.073711
8689793,K01893.01,Kepler-1003 b,292.02045,44.876221,14.053,CONFIRMED,1.0,0,0,0,0,3.554856338,131.80398,2.1004,232.9,40.8,0.331,1.29,1157.0,425.04,0.014177,6068.0,4.565,0.831,0.931,292.02045,44.876221
11673802,K01894.01,Kepler-1004 b,297.35928,49.79755,13.427,CONFIRMED,1.0,0,0,0,0,5.28790754,135.36119,8.5274,343.9,90.6,0.474,7.1,1661.0,1802.31,0.017041,4994.0,3.433,3.818,1.441,297.35928,49.79755
