pl_name,hostname,disc_year,discoverymethod,tran_flag,disc_facility,disc_telescope,disc_instrument,pl_orbper,pl_rade,pl_masse,pl_dens,pl_insol,pl_imppar,pl_trandep,st_teff,st_rad,st_mass,st_lum,st_age,st_dens
Kepler-5 b,Kepler-5,2009,Transit,1,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3.5484657,15.984034,670.93913,0.4,1822.758,0.0968,0.72515,6297.0,1.793,1.374,0.65242,2.88,0.39897
Kepler-6 b,Kepler-6,2009,Transit,1,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3.2346996,14.616536,212.31044,0.4,792.218,0.141,1.08141,5647.0,1.391,1.209,0.18916,3.8,0.77551
Kepler-4 b,Kepler-4,2009,Transit,1,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3.21346,4.002,24.472,1.91,1245.431,0.022,0.087,5857.0,1.487,1.223,0.354,4.5,0.46728
Kepler-7 b,Kepler-7,2009,Transit,1,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,4.8854892,18.180998,140.16303,0.14,1375.11,0.5599,0.75693,5933.0,1.966,1.359,0.69639,2.9,0.32016
Kepler-9 b,Kepler-9,2010,Transit,1,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.23891,8.29,43.4,0.42,48.229,0.59,0.66605,5774.0,0.958,1.022,-0.038,2.0,1.64
Kepler-11 b,Kepler-11,2010,Transit,1,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,10.3039,1.8,1.9,1.72,146.36,0.116,0.03013,5663.0,1.065,0.961,0.1202,8.5,1.122
Kepler-11 g,Kepler-11,2010,Transit,1,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,118.3807,3.33,25.0,4.0,5.65,0.217,0.1006,5663.0,1.065,0.961,0.1202,8.5,1.122
Kepler-11 c,Kepler-11,2010,Transit,1,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,13.0241,2.87,2.9,0.66,107.224,0.156,0.07508,5663.0,1.065,0.961,0.1202,8.5,1.122
Kepler-11 d,Kepler-11,2010,Transit,1,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,22.6845,3.12,7.3,1.28,51.115,0.181,0.0885,5663.0,1.065,0.961,0.1202,8.5,1.122
Kepler-11 e,Kepler-11,2010,Transit,1,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,31.9996,4.19,8.0,0.58,32.34,0.763,0.1333,5663.0,1.065,0.961,0.1202,8.5,1.122
Kepler-8 b,Kepler-8,2010,Transit,1,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3.5224991,15.871944,187.5197,0.27,1444.881,0.7191,0.91457,6213.0,1.486,1.213,0.605,3.47,0.65374
Kepler-9 c,Kepler-9,2010,Transit,1,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,38.9853,8.08,29.9,0.31,18.903,0.74,0.61591,5774.0,0.958,1.022,-0.038,2.0,1.64
