model,f1,accuracy,roc_auc,optimization time
Stacking Classifier,0.927484333034915,0.9385898407884761,0.9765751518519046,18.34967041015625
XGBoost Classifier,0.9252925292529253,0.9370735405610311,0.9781945888956959,199.79480934143066
CatBoost Classifier,0.9177101967799642,0.9302501895375285,0.9757511860832894,1244.7701649665833
LightGBM Classifier,0.9175627240143369,0.9302501895375285,0.9763495704455114,215.21282958984375
Random Forest Classifier,0.9142335766423357,0.9287338893100834,0.9731023854640091,1486.9222793579102
Gradient Boosting Classifier,0.9142335766423357,0.9287338893100834,0.9776793134726716,2040.0764462947845
k-Nearest Neighbors Classifier,0.8788927335640139,0.8938589840788476,0.9550190675651932,42.51898169517517
Decision Tree Classifier,0.8788927335640139,0.8938589840788476,0.9355976957452972,84.32898306846619
Logistic Regression,0.8761742100768574,0.890068233510235,0.9500040367199039,292.62113904953003
Gaussion Naive Bayes,0.7740986019131715,0.7672479150871873,0.8072988644944366,48.00479197502136
